amm_type,bucket,n,mean_dev_bps,median_dev_bps,p90_dev_bps,mean_amount_usd
humidifi,"B0 [0,400)",1875,3.305747411244264,0.9846742350008532,6.132156363085011,385.10829541920003
humidifi,"B1 [400,800)",77,1.9772741269600156,1.099645131443,5.447838096381604,408.2944923246753
humidifi,"B2 [800,1200)",9,1.3990641591354471,0.2841771935339341,2.6534258541764015,363.7906047777778
humidifi,B3 >=1200,1,71.400337411366,71.400337411366,71.400337411366,0.091565
whirlpool,"B0 [0,400)",1895,5.016724331579507,1.2591615396409999,4.285899676270203,1881.0354834272252
whirlpool,"B1 [400,800)",862,2.921657805934134,1.145039443645,3.741069603579599,710.9813515905932
whirlpool,"B2 [800,1200)",228,2.1397728385247676,1.2654171739975,3.7138093246382007,980.8200622464934
whirlpool,B3 >=1200,620,3.0979255869752196,1.195059040987,3.5148815233870008,1484.1132344547439
raydium,"B0 [0,400)",4443,8.23645072330464,2.5498074685470002,20.152272282794804,155.60523931785983
raydium,"B1 [400,800)",2251,10.293848607457923,2.8857053954749996,20.531496412229,78.66755161392084
raydium,"B2 [800,1200)",690,6.818077837743911,2.9151380478175,19.240227813825506,58.65495876987872
raydium,B3 >=1200,954,5.380655556956944,1.784504829694,15.968209732775101,69.98804590485149
orca,"B0 [0,400)",0,,,,
orca,"B1 [400,800)",0,,,,
orca,"B2 [800,1200)",0,,,,
orca,B3 >=1200,0,,,,
