threshold,amm,metric,n_events_total,n_with_value,median_s,mean_s,p90_s,max_s,median_slot
0.0005,humidifi,response_oracle,24,24,0.0,0.0,0.0,0.0,0.0
0.0005,humidifi,response_swap,24,24,0.0,0.4166666666666667,1.6999999999999993,2.0,0.0
0.0005,humidifi,convergence,24,24,0.0,0.7916666666666666,2.0,3.0,0.0
0.0005,whirlpool,response_oracle,24,0,,,,,
0.0005,whirlpool,response_swap,24,24,1.5,1.75,4.0,5.0,3.75
0.0005,whirlpool,convergence,24,24,1.5,1.75,4.0,5.0,3.75
0.0005,raydium,response_oracle,24,0,,,,,
0.0005,raydium,response_swap,24,24,0.0,0.25,1.0,2.0,0.0
0.0005,raydium,convergence,24,24,0.0,0.4166666666666667,1.6999999999999993,2.0,0.0
0.001,humidifi,response_oracle,8,8,0.0,0.0,0.0,0.0,0.0
0.001,humidifi,response_swap,8,8,0.0,0.625,2.0,2.0,0.0
0.001,humidifi,convergence,8,8,1.5,1.25,2.3,3.0,3.75
0.001,whirlpool,response_oracle,8,0,,,,,
0.001,whirlpool,response_swap,8,8,0.5,1.25,3.3,4.0,1.25
0.001,whirlpool,convergence,8,8,1.5,1.5,3.3,4.0,3.75
0.001,raydium,response_oracle,8,0,,,,,
0.001,raydium,response_swap,8,8,0.0,0.25,1.0,1.0,0.0
0.001,raydium,convergence,8,8,0.5,0.625,1.2999999999999998,2.0,1.25
0.0015,humidifi,response_oracle,5,5,0.0,0.0,0.0,0.0,0.0
0.0015,humidifi,response_swap,5,5,0.0,0.6,1.6,2.0,0.0
0.0015,humidifi,convergence,5,5,1.0,1.2,2.0,2.0,2.5
0.0015,whirlpool,response_oracle,5,0,,,,,
0.0015,whirlpool,response_swap,5,5,0.0,0.8,2.4000000000000004,4.0,0.0
0.0015,whirlpool,convergence,5,5,0.0,0.8,2.4000000000000004,4.0,0.0
0.0015,raydium,response_oracle,5,0,,,,,
0.0015,raydium,response_swap,5,5,0.0,0.2,0.6000000000000001,1.0,0.0
0.0015,raydium,convergence,5,5,0.0,0.4,1.0,1.0,0.0
