threshold,t0_s,t0_iso,magnitude,direction,pre_price,peak_price,trough_price,amm,T1_oracle_s,T1_swap_s,T2_swap_s,response_delay_oracle_s,response_delay_swap_s,convergence_delay_s,converged
0.001,1776211490,2026-04-15T00:04:50+00:00,0.0017872036220658583,up,83.93,84.08,83.93,humidifi,1776211490.0,1776211491,1776211491,0.0,1,1,True
0.001,1776211490,2026-04-15T00:04:50+00:00,0.0017872036220658583,up,83.93,84.08,83.93,whirlpool,,1776211490,1776211490,,0,0,True
0.001,1776211490,2026-04-15T00:04:50+00:00,0.0017872036220658583,up,83.93,84.08,83.93,raydium,,1776211491,1776211491,,1,1,True
0.001,1776211495,2026-04-15T00:04:55+00:00,0.0013099916636893916,down,84.08,84.08,83.97,humidifi,1776211495.0,1776211495,1776211495,0.0,0,0,True
0.001,1776211495,2026-04-15T00:04:55+00:00,0.0013099916636893916,down,84.08,84.08,83.97,whirlpool,,1776211495,1776211495,,0,0,True
0.001,1776211495,2026-04-15T00:04:55+00:00,0.0013099916636893916,down,84.08,84.08,83.97,raydium,,1776211495,1776211495,,0,0,True
0.001,1776211652,2026-04-15T00:07:32+00:00,0.0013096797237766022,down,84.09,84.1,83.99,humidifi,1776211652.0,1776211652,1776211652,0.0,0,0,True
0.001,1776211652,2026-04-15T00:07:32+00:00,0.0013096797237766022,down,84.09,84.1,83.99,whirlpool,,1776211652,1776211654,,0,2,True
0.001,1776211652,2026-04-15T00:07:32+00:00,0.0013096797237766022,down,84.09,84.1,83.99,raydium,,1776211652,1776211652,,0,0,True
0.001,1776211789,2026-04-15T00:09:49+00:00,0.001071683734222395,down,84.07,84.07,83.98,humidifi,1776211789.0,1776211791,1776211792,0.0,2,3,True
0.001,1776211789,2026-04-15T00:09:49+00:00,0.001071683734222395,down,84.07,84.07,83.98,whirlpool,,1776211792,1776211792,,3,3,True
0.001,1776211789,2026-04-15T00:09:49+00:00,0.001071683734222395,down,84.07,84.07,83.98,raydium,,1776211790,1776211791,,1,2,True
0.001,1776212486,2026-04-15T00:21:26+00:00,0.0019120458891013214,up,83.68,83.84,83.68,humidifi,1776212486.0,1776212488,1776212488,0.0,2,2,True
0.001,1776212486,2026-04-15T00:21:26+00:00,0.0019120458891013214,up,83.68,83.84,83.68,whirlpool,,1776212486,1776212486,,0,0,True
0.001,1776212486,2026-04-15T00:21:26+00:00,0.0019120458891013214,up,83.68,83.84,83.68,raydium,,1776212486,1776212486,,0,0,True
0.001,1776213152,2026-04-15T00:32:32+00:00,0.0014314684480496442,down,83.94,83.95,83.83,humidifi,1776213152.0,1776213152,1776213154,0.0,0,2,True
0.001,1776213152,2026-04-15T00:32:32+00:00,0.0014314684480496442,down,83.94,83.95,83.83,whirlpool,,1776213153,1776213153,,1,1,True
0.001,1776213152,2026-04-15T00:32:32+00:00,0.0014314684480496442,down,83.94,83.95,83.83,raydium,,1776213152,1776213153,,0,1,True
0.001,1776214142,2026-04-15T00:49:02+00:00,0.002509860164933597,down,83.88,83.88,83.67,humidifi,1776214142.0,1776214142,1776214144,0.0,0,2,True
0.001,1776214142,2026-04-15T00:49:02+00:00,0.002509860164933597,down,83.88,83.88,83.67,whirlpool,,1776214146,1776214146,,4,4,True
0.001,1776214142,2026-04-15T00:49:02+00:00,0.002509860164933597,down,83.88,83.88,83.67,raydium,,1776214142,1776214143,,0,1,True
